mmsi,length,width,to_bow,to_stern,to_port,to_starboard,Embarcacion,area_m2,Unnamed: 9,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,7,2140.0,0.0,0.0,0.0,0.0,3705.0,0.0,5845.0,317.234,1312.505877024278
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,4,0.0,0.0,0.0,0.0,0.0,34415.0,6820.0,41235.0,3638.173,6617.729814184911
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,3,1110.0,2240.0,35900.0,0.0,0.0,4850.0,0.0,44100.0,3964.511,8239.679166174183
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,0,2590.0,0.0,10300.0,0.0,0.0,0.0,0.0,12890.0,2020.96,5795.929973656588
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,8,160.0,0.0,45310.0,0.0,0.0,0.0,0.0,45470.0,6281.710000000001,8656.445035855586
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,6,3700.0,0.0,37660.0,0.0,0.0,0.0,0.0,41360.0,4489.0,8210.943810001094
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,5,1630.0,970.0,8840.0,0.0,0.0,0.0,0.0,11440.0,1091.205,2580.4641988327508
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,1,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,370.8308274220091
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,11,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,370.8308274220091
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,4,T071,10,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,3.778812197690449
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,2,T071,9,4588.0,0.0,21554.0,0.0,0.0,0.0,0.0,26142.0,2968.215,5718.153970604649
760000030,50.0,10.0,5.0,45.0,5.0,5.0,TASA 71,500.0,,DON ABRAHAM,2,T071,2,0.0,0.0,52800.0,0.0,0.0,0.0,0.0,52800.0,7069.815000000001,8608.718816688192
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,7,0.0,0.0,0.0,6190.0,2890.0,0.0,0.0,9080.0,1169.925,4375.876446125065
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,4,940.0,0.0,0.0,2600.0,1200.0,0.0,0.0,4740.0,622.35,1873.154867268517
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,3,0.0,1000.0,9740.0,0.0,0.0,0.0,0.0,10740.0,1284.52,6512.305080172756
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,0,1270.0,0.0,710.0,0.0,0.0,0.0,0.0,1980.0,123.445,1006.68214421355
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,8,20.0,1590.0,8820.0,0.0,0.0,0.0,0.0,10430.0,2232.402,5334.743026217458
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,6,0.0,930.0,8270.0,0.0,0.0,0.0,0.0,9200.0,1138.77,4782.986778772568
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,29.34239042459386
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,1,305.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,65.08924284202116
760000060,33.0,6.0,3.0,30.0,3.0,3.0,TASA 218,198.0,,BRAVO 10,1,T218,11,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,12.8075275532801
