Embarcacion,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
TASA 111,CAPLINA 8,1,T111,MARZO,394.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,304.6741914495306
TASA 17,RIMAC 4,1,T017,MARZO,2971.0,0.0,0.0,0.0,0.0,0.0,0.0,2971.0,0.0,2100.646963495119
TASA 21,LOBO I,3,T021,MARZO,249.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,90.4935648669634
TASA 210,PIZARRO 10,3,T210,MARZO,243.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,90.4935648669634
TASA 218,BRAVO 10,1,T218,MARZO,0.0,0.0,0.0,6190.0,2890.0,0.0,0.0,9080.0,1169.925,4375.876446125065
TASA 22,MAYTE,3,T022,MARZO,0.0,0.0,0.0,6025.0,2057.0,0.0,0.0,8082.0,1527.985,4717.345009548018
TASA 220,MACABI 3,1,T220,MARZO,394.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,54.66990042894258
TASA 23,LOBO II,3,T023,MARZO,4535.0,0.0,0.0,0.0,0.0,0.0,0.0,4535.0,0.0,2723.956425103729
TASA 31,JAYANCA,1,T031,MARZO,0.0,0.0,0.0,4295.0,2245.0,0.0,0.0,6540.0,1509.925,4127.965086467477
TASA 310,ZAÑA,1,T310,MARZO,210.0,0.0,0.0,3710.0,3090.0,0.0,0.0,7010.0,617.095,3538.883506858682
TASA 314,CONTUMAZA 4,1,T314,MARZO,455.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,106.20075677534851
TASA 315,BRAVO 7,1,T315,MARZO,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,90.4935648669634
TASA 32,PEGASO,3,T032,MARZO,210.0,0.0,0.0,0.0,347.0,0.0,0.0,557.0,0.0,791.7435301908154
TASA 34,SAMOA,3,T034,MARZO,340.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,80.53805190353565
TASA 35,PUNTA SAL,3,T035,MARZO,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,90.4935648669634
TASA 36,FLAMINGO,3,T036,MARZO,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,10.08795117218363
TASA 37,COSTA AZUL,3,T037,MARZO,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.0,0.0,197.3907666133752
